"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"2/12/2009","00:00:00",0.846,0.094,239.53,3.4,0,0,1
"2/12/2009","00:01:00",2.46082244750339,0.094,239.74,3.4,0,0,1
"2/12/2009","00:02:00",2.53481017333915,0.096,240.15,3.4,0,0,0
"2/12/2009","00:03:00",0.7702,0.094,239.93,3.4,0,0,1
"2/12/2009","00:04:00",0.76715,0.096,239.87,3.4,0,0,0
"2/12/2009","00:05:00",0.842,0.096,239.9,3.4,0,0,1
"2/12/2009","00:06:00",0.719377679919381,0.094,239.2,3.4,0,0,1
"2/12/2009","00:07:00",0.832,0.092,238.52,3.4,0,0,0
"2/12/2009","00:08:00",0.834,0.092,239.04,3.4,0,0,1
"2/12/2009","00:09:00",1.41381021466743,0.094,239.54,3.4,0,0,1
"2/12/2009","00:10:00",0.84,0.096,240.06,3.4,0,0,0
"2/12/2009","00:11:00",2.5963835559809,0.082,240.02,3.4,0,0,1
"2/12/2009","00:12:00",0.8019,0,239.85,3,0,0,1
"2/12/2009","00:13:00",2.73603701153029,0,239.97,3,0,0,0
"2/12/2009","00:14:00",0.82195,0,240.31,3,0,0,1
"2/12/2009","00:15:00",0.8311,0,240.49,3,0,0,1
"2/12/2009","00:16:00",0.726,0,240.52,3,0,0,0
"2/12/2009","00:17:00",0.73,0,240.99,3,0,0,1
"2/12/2009","00:18:00",0.8588,0,240.49,3,0,0,1
"2/12/2009","00:19:00",2.53390226700263,0,240.71,3,0,0,0
"2/12/2009","00:20:00",0.0931590257547064,0,241.35,3,0,0,1
"2/12/2009","00:21:00",0.88715,0,241.42,3,0,0,0
"2/12/2009","00:22:00",1.20316602953881,0,241.57,3,0,0,1
"2/12/2009","00:23:00",0.73,0,241.16,3,0,0,1
"2/12/2009","00:24:00",1.92521573485706,0,241.63,3,0,0,0
"2/12/2009","00:25:00",0.9273,0.064,241.41,3.4,0,0,1
"2/12/2009","00:26:00",0.842,0.076,240.26,3.4,0,0,1
"2/12/2009","00:27:00",1.29439617896885,0.076,240.54,3.2,0,0,0
"2/12/2009","00:28:00",0.9649,0.078,241.27,3.2,0,0,1
"2/12/2009","00:29:00",0.806,0.08,241.32,3.2,0,0,1
"2/12/2009","00:30:00",0.9911,0.08,241.78,3.2,0,0,0
"2/12/2009","00:31:00",0.802,0.08,241.38,3.2,0,0,1
"2/12/2009","00:32:00",1.86109798559687,0.078,241.09,3.2,0,0,1
"2/12/2009","00:33:00",2.71856645436772,0.082,241.98,3.2,0,0,0
"2/12/2009","00:34:00",2.55212273874861,0.082,242.49,3.2,0,0,1
"2/12/2009","00:35:00",1.0348,0.084,243.4,3.2,0,0,1
"2/12/2009","00:36:00",2.05872620318911,0.11,243.36,3.4,0,0,0
"2/12/2009","00:37:00",1.17139019704028,0.168,243.25,3.6,0,0,1
"2/12/2009","00:38:00",1.04585,0.112,242.52,3.4,0,0,1
"2/12/2009","00:39:00",1.04555,0.11,241.81,3.4,0,0,0
"2/12/2009","00:40:00",1.04525,0.11,241.59,3.4,0,0,1
"2/12/2009","00:41:00",2.99685861550787,0.11,241.85,3.4,0,0,1
"2/12/2009","00:42:00",0.550494592102347,0.216,241.92,3.8,0,0,0
"2/12/2009","00:43:00",1.04835,0.226,240.23,3.8,0,1,1
"2/12/2009","00:44:00",1.04975,0.224,239.47,3.8,0,2,1
"2/12/2009","00:45:00",1.49098495078828,0.222,239.31,3.8,0,1,0
"2/12/2009","00:46:00",1.0527,0.222,239.29,3.8,0,2,1
"2/12/2009","00:47:00",0.898,0.222,239.28,3.8,0,1,1
"2/12/2009","00:48:00",0.898,0.224,239.33,3.8,0,1,0
"2/12/2009","00:49:00",0.896,0.222,239.31,3.8,0,2,1
"2/12/2009","00:50:00",0.772680171103821,0.224,239.74,3.8,0,1,0
"2/12/2009","00:51:00",2.59982859029509,0.18,239.33,3.6,0,2,1
"2/12/2009","00:52:00",0.804,0.092,239.32,3.2,0,1,1
"2/12/2009","00:53:00",1.74868883139457,0.094,239.81,3.4,0,1,0
"2/12/2009","00:54:00",0.808,0.096,240.48,3.4,0,2,1
"2/12/2009","00:55:00",0.806,0.094,240.14,3.4,0,1,1
"2/12/2009","00:56:00",1.10416767735334,0.094,239.94,3.2,0,2,0
"2/12/2009","00:57:00",1.07215,0.092,239.88,3.2,0,1,1
"2/12/2009","00:58:00",1.07405,0.094,239.8,3.2,0,1,1
"2/12/2009","00:59:00",1.07595,0.096,240.51,3.2,0,2,0
"2/12/2009","01:00:00",0.804,0.094,240.46,3.2,0,1,1
"2/12/2009","01:01:00",0.79554522854768,0.094,240.42,3.2,0,1,1
"2/12/2009","01:02:00",0.804,0.096,240.74,3.2,0,1,0
"2/12/2009","01:03:00",3.35800315252791,0.092,239.71,3.2,0,2,1
"2/12/2009","01:04:00",2.3327320600485,0.092,239.34,3.2,0,1,1
"2/12/2009","01:05:00",1.0842,0.092,239.76,3.2,0,1,0
"2/12/2009","01:06:00",0.897688984620895,0.092,239.92,3.2,0,1,1
"2/12/2009","01:07:00",3.08601560299995,0.094,240.25,3.2,0,2,0
"2/12/2009","01:08:00",1.08275,0.094,240.49,3.2,0,1,1
