station,name,date,latitude,longitude,elevation,precipitation
CA001101158,BURNABY SIMON FRASER U,2016-01-01,49.2833,-122.9167,366.0,0
CA001101158,BURNABY SIMON FRASER U,2016-01-02,49.2833,-122.9167,366.0,0
CA001101158,BURNABY SIMON FRASER U,2016-01-03,49.2833,-122.9167,366.0,10
CA001101158,BURNABY SIMON FRASER U,2016-01-04,49.2833,-122.9167,366.0,15
CA001101158,BURNABY SIMON FRASER U,2016-01-05,49.2833,-122.9167,366.0,80
CA001101158,BURNABY SIMON FRASER U,2016-01-07,49.2833,-122.9167,366.0,10
CA001101158,BURNABY SIMON FRASER U,2016-01-08,49.2833,-122.9167,366.0,6
CA001101158,BURNABY SIMON FRASER U,2016-01-09,49.2833,-122.9167,366.0,0
CA001101158,BURNABY SIMON FRASER U,2016-01-10,49.2833,-122.9167,366.0,0
CA001101158,BURNABY SIMON FRASER U,2016-01-11,49.2833,-122.9167,366.0,85
CA001101158,BURNABY SIMON FRASER U,2016-01-12,49.2833,-122.9167,366.0,56
CA001101158,BURNABY SIMON FRASER U,2016-01-13,49.2833,-122.9167,366.0,8
CA001101158,BURNABY SIMON FRASER U,2016-01-14,49.2833,-122.9167,366.0,4
CA001101158,BURNABY SIMON FRASER U,2016-01-15,49.2833,-122.9167,366.0,4
CA001101158,BURNABY SIMON FRASER U,2016-01-16,49.2833,-122.9167,366.0,104
CA001101158,BURNABY SIMON FRASER U,2016-01-17,49.2833,-122.9167,366.0,96
CA001101158,BURNABY SIMON FRASER U,2016-01-18,49.2833,-122.9167,366.0,42
CA001101158,BURNABY SIMON FRASER U,2016-01-19,49.2833,-122.9167,366.0,5
CA001101158,BURNABY SIMON FRASER U,2016-01-20,49.2833,-122.9167,366.0,0
CA001101158,BURNABY SIMON FRASER U,2016-01-21,49.2833,-122.9167,366.0,223
CA001101158,BURNABY SIMON FRASER U,2016-01-22,49.2833,-122.9167,366.0,18
CA001101158,BURNABY SIMON FRASER U,2016-01-23,49.2833,-122.9167,366.0,46
CA001101158,BURNABY SIMON FRASER U,2016-01-24,49.2833,-122.9167,366.0,22
CA001101158,BURNABY SIMON FRASER U,2016-01-25,49.2833,-122.9167,366.0,34
CA001101158,BURNABY SIMON FRASER U,2016-01-26,49.2833,-122.9167,366.0,318
CA001101158,BURNABY SIMON FRASER U,2016-01-27,49.2833,-122.9167,366.0,545
CA001101158,BURNABY SIMON FRASER U,2016-01-28,49.2833,-122.9167,366.0,6
CA001101158,BURNABY SIMON FRASER U,2016-01-29,49.2833,-122.9167,366.0,10
CA001101158,BURNABY SIMON FRASER U,2016-01-30,49.2833,-122.9167,366.0,62
CA001101158,BURNABY SIMON FRASER U,2016-01-31,49.2833,-122.9167,366.0,0
CA001101158,BURNABY SIMON FRASER U,2016-02-01,49.2833,-122.9167,366.0,10
CA001101158,BURNABY SIMON FRASER U,2016-02-02,49.2833,-122.9167,366.0,0
CA001101158,BURNABY SIMON FRASER U,2016-02-03,49.2833,-122.9167,366.0,182
CA001101158,BURNABY SIMON FRASER U,2016-02-04,49.2833,-122.9167,366.0,64
CA001101158,BURNABY SIMON FRASER U,2016-02-05,49.2833,-122.9167,366.0,72
