name,population,area,latitude,longitude
"Airdrie, Alberta",,,51.2917,-114.014
Brooks,,,50.564166666667,-111.89888888889
Calgary,1096833,825290000.0,51.054444,-114.066944
Camrose,18742,,53.016666666667,-112.83333333333
Chestermere,,,51.05,-113.823
Cold Lake,,,54.4642,-110.183
Edmonton,812201,684370000.0,53.5,-113.5
Fort Saskatchewan,,,53.7128,-113.213
Grande Prairie,,,55.1708,-118.795
Lacombe,13057,,52.4683,-113.737
Leduc,29993,,53.2594,-113.549
Lethbridge,,,49.694167,-112.832778
Lloydminster,,,53.278333333333,-110.005
Medicine Hat,,,50.042069444444,-110.67421111111
Red Deer,,,52.268055555556,-113.81111111111
Spruce Grove,,,53.545,-113.90083333333
St. Albert,,,53.630277777778,-113.62583333333
Wetaskiwin,,,52.969443888889,-113.37694388889
Abbotsford,133497,375550000.0,49.054611111111,-122.328
Armstrong,,,50.4483,-119.196
Burnaby,223218,90610000.0,49.25,-122.949167
Campbell River,,,50.024444444444,-125.2475
Castlegar,,,49.326111111111,-117.66472222222
Chilliwack,,,49.157722222222,-121.95091666667
Colwood,,,48.4236,-123.496
Coquitlam,,,49.2839,-122.792
Courtenay,,,49.6878,-124.994
Cranbrook,,31950000.0,49.5136,-115.769
Dawson Creek,,,55.760555555556,-120.23555555556
Duncan,,,48.778694444444,-123.70786111111
"Enderby, British Columbia",,,50.5508,-119.14
Fernie,,,49.5042,-115.063
Fort St. John,,,56.2525,-120.84638888889
Grand Forks,,,49.033333333333,-118.44
"Greenwood, British Columbia",,,49.0911,-118.677
Kamloops,,,50.6761,-120.341
Kelowna,,,49.8801,-119.4436
"Kimberley, British Columbia",,,49.669722222222,-115.64416666667
Langford,,,48.4506,-123.506
"Langley, British Columbia",,,49.1041,-122.658
Maple Ridge,,,49.2167,-122.6
Merritt,,,50.111944444444,-120.78666666667
Nanaimo,83811,91000000.0,49.164166666667,-123.93638888889
Nelson,,,49.5,-117.28333333333
New Westminster,,,49.2069,-122.911
North Vancouver,,,49.316666666667,-123.06666666667
Parksville,,,49.315,-124.312
Penticton,,,49.491111111111,-119.58861111111
Pitt Meadows,,,49.2333,-122.683
Port Alberni,,,49.2339,-124.805
Port Coquitlam,,,49.2625,-122.781
Port Moody,,,49.2831,-122.832
Powell River,,,49.835277777778,-124.52472222222
Prince George,,,53.916944444444,-122.74944444444
Prince Rupert,,,54.312194444444,-130.32708333333
Quesnel,,,52.9784,-122.493
Revelstoke,7139,40000000.0,50.9981,-118.196
Richmond,198309,129270000.0,49.166666666667,-123.13333333333
Rossland,,,49.0786,-117.799
Salmon Arm,,,50.702222222222,-119.27222222222
Surrey,468251,316410000.0,49.1833,-122.85
Terrace,,,54.516472222222,-128.59972222222
Trail,,,49.095,-117.71
Vancouver,603502,115000000.0,49.25,-123.1
Vernon,,,50.267,-119.272
Victoria,80032,19470000.0,48.422151,-123.3657
West Kelowna,,,49.8625,-119.583
White Rock,,,49.0199,-122.803
Williams Lake,,,52.141666666667,-122.14166666667
Brandon,,465160000.0,49.833333333333,-99.95
Dauphin,,,51.149444444444,-100.04944444444
Flin Flon,5592,,54.768055555556,-101.86416666667
Morden,,,49.191944444444,-98.100555555556
Portage la Prairie,,,49.972777777778,-98.291944444444
Selkirk,,,50.1436,-96.8839
Steinbach,,,49.5258,-96.6839
Thompson,,1718000000.0,55.743333333333,-97.855277777778
Winkler,,,49.1817,-97.9397
Winnipeg,663617,,49.883333,-97.15
Bathurst,,,47.62,-65.65
Campbellton,,,48.005,-66.673055555556
Dieppe,,,46.098888888889,-64.724166666667
Edmundston,,,47.3765,-68.325347222222
Fredericton,56224,130680000.0,45.95,-66.666666666667
Miramichi,,,47.0225,-65.508888888889
Moncton,,,46.093333,-64.775
Saint John,70063,,45.2796,-66.0628
Corner Brook,,148000000.0,48.95,-57.95
Mount Pearl,,,47.518838888889,-52.807438888889
St. John's,106172,446060000.0,47.5675,-52.707222222222
Yellowknife,,136220000.0,62.442222222222,-114.3975
Iqaluit,6699,52000000.0,63.75,-68.55
