R,G,B,Label,Confidence
168,211,243,blue,good
37,32,40,black,perfect
35,34,38,black,perfect
79,74,159,purple,good
55,99,34,green,perfect
127,127,118,grey,perfect
132,155,126,green,good
198,156,198,purple,good
165,166,191,grey,poor
118,134,243,blue,perfect
167,97,108,pink,poor
47,108,73,green,good
2,2,3,black,perfect
130,129,206,red,poor
13,110,242,blue,poor
51,15,24,black,perfect
216,119,182,purple,good
149,144,150,grey,perfect
220,145,26,brown,good
85,247,252,blue,poor
92,155,239,blue,good
37,45,43,black,perfect
88,24,44,brown,good
11,235,209,green,poor
10,213,27,green,good
223,202,230,purple,poor
227,41,89,red,good
60,52,35,black,perfect
128,241,53,green,poor
125,67,17,brown,perfect
252,250,245,pink,poor
156,177,171,grey,perfect
37,124,60,green,perfect
136,245,212,blue,poor
93,104,155,green,poor
219,214,212,grey,perfect
2,10,18,black,perfect
14,38,8,green,poor
156,194,41,green,good
207,86,248,purple,good
226,161,81,orange,good
24,133,35,green,perfect
55,52,59,black,good
107,122,163,blue,poor
174,207,135,green,good
218,206,220,grey,poor
196,255,133,green,perfect
51,134,191,blue,perfect
72,52,106,purple,perfect
230,142,164,pink,good
43,33,85,purple,perfect
246,248,242,white,poor
160,164,167,grey,perfect
116,168,242,blue,perfect
149,170,43,green,perfect
178,216,240,blue,perfect
231,232,231,grey,perfect
55,48,51,black,perfect
123,118,212,red,poor
173,87,243,purple,good
194,177,30,red,poor
149,221,38,green,good
94,99,151,blue,poor
88,87,84,black,good
157,128,134,brown,poor
51,55,51,black,perfect
12,3,40,black,perfect
174,224,125,green,good
230,194,197,pink,good
243,159,57,orange,perfect
11,8,8,black,perfect
211,163,199,pink,perfect
25,6,15,black,perfect
4,6,1,black,perfect
46,48,22,black,perfect
36,36,36,black,perfect
194,194,194,grey,perfect
128,131,97,green,poor
59,251,114,green,perfect
240,159,70,orange,perfect
133,150,148,grey,good
139,9,253,purple,perfect
18,16,17,black,perfect
248,193,250,pink,perfect
60,90,102,blue,poor
245,47,252,pink,good
40,61,195,blue,perfect
3,3,2,black,perfect
116,10,8,red,poor
15,103,228,blue,perfect
85,223,209,blue,good
228,167,249,purple,perfect
246,255,236,green,poor
173,255,90,green,perfect
207,47,103,purple,perfect
169,52,55,red,good
192,101,238,purple,good
76,190,172,blue,good
6,4,0,black,perfect
63,52,105,blue,good
12,23,32,black,perfect
189,178,176,grey,perfect
77,101,6,green,good
167,126,112,brown,good
77,220,6,green,perfect
67,3,176,purple,poor
133,129,244,purple,poor
27,31,59,black,perfect
117,118,118,grey,perfect
31,79,38,green,good
31,66,27,green,poor
46,243,117,green,perfect
193,249,229,green,poor
252,215,201,pink,good
220,148,243,purple,perfect
255,232,144,yellow,perfect
155,29,250,purple,perfect
187,154,211,purple,perfect
39,51,4,green,good
185,132,168,pink,good
47,241,188,blue,good
79,105,129,blue,good
