id,created_at,text
994677639364403200,2018-05-10 20:36:44,@Steff88979267 tell them to h*ck off
994364904978239488,2018-05-09 23:54:02,@NFLOwnerGBP take it back
994363623421153280,2018-05-09 23:48:56,"This is Louie. He has misplaced his Cheerio. Would love your help finding it. 14/10 of course, Louie https://t.co/p2aUdyoQU3"
994336722875047936,2018-05-09 22:02:03,@rachaellanaghan ❤️
994024065982717952,2018-05-09 01:19:40,This is Captain Jack Wobbles. He is currently in command of this stump. Anyone who crossed him shall feel his wrink… https://t.co/9tVJoKidir
993944355051376640,2018-05-08 20:02:55,@shanestewart89 @darth who’s the artist?
993889355365257217,2018-05-08 16:24:22,@darth WHO SAID HE WASN’T DARTH
993889039714578432,2018-05-08 16:23:07,This is Manny. He hasn’t seen your croissant. Not sure why you’re questioning him. 13/10 for the honest boy https://t.co/1yMDweSH9K
993629544463642624,2018-05-07 23:11:58,"This is Libby. She leap. 14/10
(IG: libbythefluffycorgi) https://t.co/pSt9QBSYNw"
993551676568195072,2018-05-07 18:02:33,@Wibblywobblykid no dollar sign just the whole number should work
993551435202793473,2018-05-07 18:01:36,@XIDeasX in all honesty we want you to open this box and be overwhelmed with a similar feeling
993550370105430016,2018-05-07 17:57:22,@Redox_rules @BellaMarieCt1 it should accept whole numbers from 0-1000
993550075723964417,2018-05-07 17:56:11,@apureblackvoid it was also to get hateful people to comment and show themselves so i can block them
993549188377055232,2018-05-07 17:52:40,@BillBodden if you selected not interested on the first question it should take you to just the demographic questions
993547462743920640,2018-05-07 17:45:48,@failedinsomniac what other artwork is there
993545616734195718,2018-05-07 17:38:28,@brant HI BRANT HOW ARE YOU
993479993828298752,2018-05-07 13:17:43,@dodo omg
993289347507027968,2018-05-07 00:40:09,Meet Grettle. She is unsure what she did to deserve this. Likes to be clean but never considered the mental cost. 1… https://t.co/9rkh2AvNWp
992835484916346880,2018-05-05 18:36:40,@JennyTee ❤️
992569952627560448,2018-05-05 01:01:32,@ShelbyNLRogers we’ll remind you as much as we can
992459058547445760,2018-05-04 17:40:53,"This is Bosco. On April 22nd he was hit by a car. The car sped away, and Bosco was left with a fractured hip. He un… https://t.co/mzbbYj5o4G"
992434549517881345,2018-05-04 16:03:29,@ForrestDickhut awwwww
